Data;Loja;Faturamento;Pedidos;Ticket Médio
01/06/2025;Novo Hamburgo;R$ 100.887,64;1862;R$ 54,18
01/06/2025;Barra Shopping;R$ 78.704,47;2436;R$ 32,31
01/06/2025;Porto Alegre Floresta;R$ 61.375,81;1412;R$ 43,47
01/06/2025;Sapiranga;R$ 90.023,99;1887;R$ 47,71
01/06/2025;Gravataí;R$ 52.623,54;1079;R$ 48,77
01/06/2025;Caxias do Sul;R$ 171.560,83;3166;R$ 54,19
01/06/2025;Bento Gonçalves;R$ 63.012,98;1211;R$ 52,03
01/06/2025;Lajeado;R$ 49.109,65;971;R$ 50,58
01/06/2025;Erechim;R$ 63.328,41;1396;R$ 45,36
01/06/2025;Protásio Alves;R$ 98.645,72;2073;R$ 47,59
01/06/2025;Esteio;R$ 93.758,11;2031;R$ 46,16
01/06/2025;Capão da Canoa;R$ 46.436,04;1026;R$ 45,26
01/06/2025;Ijuí;R$ 94.006,48;1721;R$ 54,62
01/07/2025;Montenegro;R$ 85.435,00;1690;R$ 50,55
01/07/2025;Canoas;R$ 87.936,00;1762;R$ 49,91
01/07/2025;Porto Alegre Zona Norte;R$ 9.833,00;214;R$ 45,95
01/07/2025;São Leopoldo;R$ 89.454,00;1738;R$ 51,47
01/07/2025;Novo Hamburgo;R$ 103.905,00;1940;R$ 53,56
01/07/2025;Barra Shopping;R$ 92.303,00;2807;R$ 32,88
01/07/2025;Porto Alegre Floresta;R$ 62.066,00;1390;R$ 44,65
01/07/2025;Sapiranga;R$ 83.595,00;1786;R$ 46,81
01/07/2025;Gravataí;R$ 46.073,00;930;R$ 49,54
01/07/2025;Caxias do Sul;R$ 150.157,00;2532;R$ 59,30
01/07/2025;Bento Gonçalves;R$ 68.375,00;1279;R$ 53,46
01/07/2025;Lajeado;R$ 46.170,00;921;R$ 50,13
01/07/2025;Erechim;R$ 58.233,00;1334;R$ 43,65
01/07/2025;Protásio Alves;R$ 93.246,00;2025;R$ 46,05
01/07/2025;Esteio;R$ 92.955,00;1954;R$ 47,57
01/07/2025;Capão da Canoa;R$ 43.761,00;953;R$ 45,92
01/07/2025;Ijuí;R$ 84.184,00;1505;R$ 55,94
01/08/2025;Montenegro;R$ 83.876,00;1649;R$ 50,86
01/08/2025;Canoas;R$ 93.156,00;1923;R$ 48,44
01/08/2025;Porto Alegre Zona Norte;R$ 12.892,00;345;R$ 37,37
01/08/2025;São Leopoldo;R$ 90.023,00;1797;R$ 50,10
01/08/2025;Novo Hamburgo;R$ 109.717,00;2236;R$ 49,07
01/08/2025;Barra Shopping;R$ 70.585,00;1989;R$ 35,49
01/08/2025;Porto Alegre Floresta;R$ 60.705,00;1564;R$ 38,81
01/08/2025;Sapiranga;R$ 81.750,00;1739;R$ 47,01
01/08/2025;Gravataí;R$ 44.029,00;915;R$ 48,12
01/08/2025;Caxias do Sul;R$ 153.153,00;2834;R$ 54,04
01/08/2025;Bento Gonçalves;R$ 64.592,00;1187;R$ 54,42
01/08/2025;Lajeado;R$ 59.053,00;1264;R$ 46,72
01/08/2025;Erechim;R$ 31.347,00;714;R$ 43,90
01/08/2025;Protásio Alves;R$ 95.010,00;2052;R$ 46,30
01/08/2025;Esteio;R$ 88.289,00;1872;R$ 47,16
01/08/2025;Capão da Canoa;R$ 43.024,00;1019;R$ 42,22
